"name"	"number"
"1、记载的秦始皇七年公元前240年的彗星各国学者认为这是世界上最早的哈雷彗星记录。出题：山东科技报社  推荐：山东学习平台  A、《淮南子》  B、《史记》  C、《礼记•月令》  D、《授时历》  "	"B《史记》"
"  2、我国的个人的工资、薪金所得缴纳个人所得税采用的是税率。  A、比例  B、超额累进  C、定额  D、超率累进  "	"B超额累进"
"  3、《中华人民共和国国家安全法》规定依照宪法规定决定战争状态的宣布决定全国总动员或者局部动员决定全国或者个别省、自治区、直辖市进入紧急状态行使宪法规定的和全国人民代表大会授予的涉及国家安全的其他职权。出题：司法部  全国普法办   A、全国人民代表大会  B、全国人民代表大会常务委员会  C、中华人民共和国主席  D、国务院  "	"B全国人民代表大会常务委员会"
"  4、全国首个国家生态文明试验区是。出题：福建学习平台  A、福建  B、贵州  C、江西  D、海南  "	"A福建"
"  5、采用引漳灌邺的方法使得邺城民富兵强成为战国时期魏国的东北重镇的人是。出题：山东科技报社  推荐：山东学习平台  A、大禹  B、孙叔敖  C、西门豹  D、史禄  "	"C西门豹"
"  6、在福建宁德工作期间习近平曾指出能否有效制止腐败现象关系到党的生死存亡和社会主义事业的成败这就需要建立各种有效的监督机制其中的监督是最经常、公开、广泛的一种监督方式。  A、人大  B、新闻媒介  C、党内  "	"B新闻媒介"
"  7、行政机关应当建立健全政府信息发布审查机制明确审查的程序和责任。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、公开  B、涉密  C、保密  D、密点  "	"C保密"
"  8、党支部党员大会是党支部的议事决策机构由全体党员参加一般每季度召开次。出题：内蒙古呼伦贝尔市直属机关工委  推荐：内蒙古学习平台  A、1  B、2  C、3  D、4  "	"A1"
"  9、我国现行《宪法》自颁布后共进行了次修改。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、2  B、3  C、4  D、5  "	"D5"
"  10、科学与技术的关系是。出题：中国科普研究所  A、相同的概念  B、完全不同的概念不存在任何联系  C、不同的概念但又存在紧密的联系  "	"C不同的概念，但又存在紧密的联系"
"  11、臭氧层能使地球上的生物免遭的伤害。出题：中国科普研究所  A、紫外线  B、红外线  C、可见光  "	"A紫外线"
"  12、大运河申遗的牵头城市是。出题：江苏省扬州市江都区委宣传部  推荐：江苏学习平台  A、北京  B、扬州  C、苏州  D、杭州  "	"B扬州"
"  13、下列情况通常采用同行评议办法的是。出题：中国科普研究所  A、遴选科研项目申请  B、科学论文评审  C、科研评奖  D、以上全是  "	"D以上全是"
"  14、下列诗句与中国和西域的物质文明交流无关的一组是。出题：中共泰州市委党校  推荐：江苏学习平台  A、沧海月明珠有泪蓝田日暖玉生烟  B、兰陵美酒郁金香玉碗盛来琥珀光  C、年年战骨埋荒外空见葡萄入汉家  D、汉家天马出蒲梢苜蓿榴花遍城郊  "	"A沧海月明珠有泪，蓝田日暖玉生烟"
"  15、不畏浮云遮望眼的作者是。  A、苏轼  B、辛弃疾  C、王安石  D、杜牧  "	"C王安石"
"  16、2016年1月12日习近平总书记在第十八届中央纪律检查委员会第六次全体会议上的讲话指出作风问题本质上是。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、素质问题  B、人性问题  C、党性问题  D、家风问题  "	"C党性问题"
"  17、苏州古典园林是中国   私家园林的代表被联合国教科文组织列入《世界遗产名录》。出题：苏州工业职业技术学院  推荐：江苏学习平台  A、国家  B、皇家  C、江南  "	"C江南"
"  18、君问归期未有期巴山夜雨涨秋池。何当共剪西窗烛却话巴山夜雨时。为唐代诗人李商隐所作诗名为。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、《入峡次巴东》  B、《巫山高》  C、《离思》  D、《夜雨寄北》  "	"D《夜雨寄北》"
